ParticipantID,Trial,SaccadeNo,StartTime,EndTime,Duration,StartX,StartY,EndX,EndY,PeakVelocity,MeanVelocity,Blink,Direction,Amplitude,EyeTracked,Task,StartY_flipped,EndY_flipped,Order,Stimulus,SearchOrCount
cass1,2,44,12784,12840,58,1011.3,296.3,1101.3,753.8,503.97,218.99,FALSE,DOWN,11.63,RIGHT,Visual foraging,754.7,297.20000000000005,1,flower.jpg,Search
cass1,2,45,13114,13156,44,1074.4,776.4,1358.6,749.1,333.84,146.88,FALSE,RIGHT,5.7,RIGHT,Visual foraging,274.6,301.9,1,flower.jpg,Search
cass1,2,46,13252,13292,42,1362.8,747.1,932.2,904.5,429.5,221.23,FALSE,LEFT,9.3,RIGHT,Visual foraging,303.9,146.5,1,flower.jpg,Search
cass1,2,47,13610,13626,18,937.6,911.5,880,915.8,95.25,57.76,FALSE,LEFT,1.15,RIGHT,Visual foraging,139.5,135.20000000000005,1,flower.jpg,Search
cass1,2,48,13856,13884,30,889.2,916.1,705.7,926.2,229.68,119.82,FALSE,LEFT,3.65,RIGHT,Visual foraging,134.89999999999998,124.79999999999995,1,flower.jpg,Search
cass1,2,49,14202,14220,20,715.7,936,766.2,888.4,112.51,72.43,FALSE,UP,1.49,RIGHT,Visual foraging,115,162.60000000000002,1,flower.jpg,Search
cass1,2,50,14728,14766,40,759.3,905,866.8,670.7,352.69,154.35,FALSE,UP,5.99,RIGHT,Visual foraging,146,380.29999999999995,1,flower.jpg,Search
cass1,2,51,14968,14988,22,869.8,680.9,833.7,574.2,205.47,122.9,FALSE,UP,2.76,RIGHT,Visual foraging,370.1,476.79999999999995,1,flower.jpg,Search
cass1,2,52,15174,15330,158,820,579,808.5,584.8,1346.11,449.25,TRUE,NA,0.28,RIGHT,Visual foraging,472,466.20000000000005,1,flower.jpg,Search
cass1,2,53,16098,16126,30,805.2,547.2,613.2,540.5,248.36,132.84,FALSE,LEFT,4,RIGHT,Visual foraging,503.79999999999995,510.5,1,flower.jpg,Search
